context
"Filename: TG Booklet 3, Paragraph(s) Number: 387, Content: The national level may be called upon to participate in the risk assessment at the end of which the decision will be made on whether the event is potential PHEIC hence warranting its notification (IHR decision instrument, http://www.who.int/ihr/revised_annex2A_guidance.pdf)"
"Filename: TG Booklet 3, Paragraph(s) Number: 388, Content: 4.9 Maintain and intensify surveillance "
"Filename: TG Booklet 3, Paragraph(s) Number: 389, Content: The national level should maintain contact with the district for daily updates (cases, deaths, number admitted, number discharged, areas affected, etc.) until end of the epidemic."
"Filename: TG Booklet 3, Paragraph(s) Number: 390, Content: Ensure that the same IDSR mechanism is used to enhance surveillance of events, and that the system is flexible enough to allow adaptation of additional variables to be collected using the existing system. This will avoid parallel reporting which can lead to confusion on the progress of the outbreak"
"Filename: TG Booklet 3, Paragraph(s) Number: 391, Content: Periodically, report on progress of response, and prepare daily situation reports which can be used to evaluate the response "
"Filename: TG Booklet 3, Paragraph(s) Number: 392, Content: Update the line list, conduct data analysis by time, person and place "
"Filename: TG Booklet 3, Paragraph(s) Number: 393, Content: Monitor effectiveness of the outbreak or response activity"
"Filename: TG Booklet 3, Paragraph(s) Number: 394, Content: During investigation, it is important also to intensify surveillance with neighbouring districts to ensure the outbreak does not spill to another district. It is important to share information and also plan for joint surveillance and response activities. Neighbouring districts may also initiate the establishment of the cross-border disease surveillance and response committees so that there is sharing of surveillance data, epidemiological and other related information during the outbreak. "
"Filename: TG Booklet 3, Paragraph(s) Number: 395, Content: 4.10 Conducting regular risk assessment after the outbreak has been confirmed"
"Filename: TG Booklet 3, Paragraph(s) Number: 396, Content: As soon as the outbreak is confirmed, it is important to conduct regular assessment at each stage of the outbreak. The assessment is needed so as to aid in focusing interventions. The risk assessment should include;"
"Filename: TG Booklet 3, Paragraph(s) Number: 397, Content: Evaluating the susceptibility of the population and potential for spread of the event both in the affected as well as neighbouring areas"
"Filename: TG Booklet 3, Paragraph(s) Number: 398, Content: Evaluating the risk of further transmission, morbidity and mortality. For this, factors that can be taken on board include population characteristics such as size, density, movement, and setting; under five mortality rates; period of the year (considering potential for seasonal outbreak) and plans for any festivals or other social events that will result in increased opportunities for spread; access to health services etc."
"Filename: TG Booklet 3, Paragraph(s) Number: 399, Content: A risk assessment should be repeated as new information becomes available. It may also be repeated on a regular timetable. For some events, different risk assessment teams may be required to work collaboratively to assemble the information for a composite picture of the risk (e.g. clinical severity, transmission dynamics, and control measures). At the conclusion of the event, all the risk assessments should be formally reviewed. The systematic analysis of well-documented risk assessments identifies where improvements can be made in the management of acute public health events in future."
"Filename: TG Booklet 3, Paragraph(s) Number: 400, Content: 4.11 Annexes to Section 4"
"Filename: TG Booklet 3, Paragraph(s) Number: 401, Content: Annex 4A: 	District log of suspected outbreaks and rumours"
"Filename: TG Booklet 3, Paragraph(s) Number: 402, Content: Annex 4B: 	Checklist of laboratory supplies for use in an outbreak investigation "
"Filename: TG Booklet 3, Paragraph(s) Number: 403, Content: Annex 4C: 	Recommended list of personal protective equipment"
"Filename: TG Booklet 3, Paragraph(s) Number: 404, Content: Annex 4D: 	How to conduct a register review"
"Filename: TG Booklet 3, Paragraph(s) Number: 405, Content: Annex 4E: 	Sample line list "
"Filename: TG Booklet 3, Paragraph(s) Number: 406, Content: Annex 4F: 	Contact recording sheet "
"Filename: TG Booklet 3, Paragraph(s) Number: 407, Content: Annex 4G: 	Contact tracing form (follow-up) "
"Filename: TG Booklet 3, Paragraph(s) Number: 408, Content: Annex 4H: 	Triple Packaging of samples during an Outbreak "
"Filename: TG Booklet 3, Paragraph(s) Number: 409, Content: Annex 4I:	Example of an Analytical study to test hypothesis "
"Filename: TG Booklet 3, Paragraph(s) Number: 410, Content: Annex 4J: 	How to create a transmission tree"
"Filename: TG Booklet 3, Paragraph(s) Number: 411, Content: Annex 4A: District log of suspected outbreaks and alerts"
"Filename: TG Booklet 3, Paragraph(s) Number: 412, Content: Record verbal or written information from health facilities or communities or social media about suspected outbreaks, alerts, or reports of unexplained events. Record the steps taken and any response activities carried out."
"Filename: TG Booklet 3, Paragraph(s) Number: 413, Content: Condition or Disease or Event(1)﷐Source of suspected outbreak or rumour (newspaper, telephone etc)(2)﷐Number of cases initially reported(3)﷐Number of deaths initially reported(4)﷐Location (Health Centre) (5)﷐Date district was notified(6)﷐Date suspected outbreak was investigated by the district(7)﷐Result of District investigation (Confirmed, Ruled Out, or Unknown) (8)﷐Date Outbreak Began   (9)﷐Date onset index case(10)﷐Date crossed threshold or first cluster(11)﷐Date a case was first seen at a health facility(12)﷐Date specific intervention began(13)﷐Type of Concrete Intervention that was begun(14)﷐DateDistrict Notified National Level of the Outbreak(15)﷐Date District received national response(16)﷐Comment (include if sample taken and results)(17)﷐Name and signature (18)﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐"
"Filename: TG Booklet 3, Paragraph(s) Number: 414, Content: Annex 4B: Checklist of laboratory supplies for use in an outbreak investigation"
"Filename: TG Booklet 3, Paragraph(s) Number: 415, Content: For using standard safety precautions when collecting and handling all specimens:Pieces of bar soap for hand-washing Bleach for decontaminationSupply of PPEs (gloves, mask, gowns, etc.)Triple package and refrigerant for sample transportation, Safety boxes for collecting and disposing of contaminated suppliesEquipment (Biosafety cabinet)﷐For collecting laboratory specimens :﷐BloodSterile needles, different sizesSterile syringesVacutainersTest tube for serumAntiseptic skin disinfectantTourniquetsTransport tubes with screw-on topsTransport media (Cary-Blair, Trans-Isolate, VTM)Blood films (malaria)Sterile or disposable lancet Glass slides and cover slips Slide boxRespiratory specimensSwabsViral transport medium﷐Cerebrospinal fluid (CSF)Local anaestheticNeedle and syringe for anaestheticAntiseptic skin disinfectantSterile screw-top tubes, Cryotube, dry tube, sterile gloves, surgical mask, sterile gauze, adhesive bandage, lumbar puncture needle, Microscope slides in a boxTrans-Isolate transport mediumLatex kitGram stainMay Grunewald Giemsa KitStoolStool containersRectal swabsCary-Blair transport mediumPlagueGram stain kitRapid diagnostic test (dipsticks AgF1) _____ Cary-Blair transport﷐If health facility has a centrifuge:Sterile pipette and bulbSterile glass or plastic tube, or bottle with a screw-on top﷐For packaging and transporting samples:Cold box with frozen ice packs or vacuum flaskCotton wool for cushioning sample to avoid breakageLabels for addressing items to labLabels for marking “store in a refrigerator” on outside of the shipping boxCase forms and line lists to act as specimen transmittal formMarking pen to mark tubes with patient’s name and ID number (if assigned by the district)﷐Reagents and supplies for testingReagentsMedia (MacConkey, Blood agar, others﷐Appropriate personal protection (PPE) (for all EPR diseases such as VHF, suspected avian influenza, etc.)In some events which present with fever, it might be worthy carrying malaria rapid diagnostic kits (mRDT) if found not available in a nearby health facility"
"Filename: TG Booklet 3, Paragraph(s) Number: 416, Content: Annex 4C: Recommended list of Personal Protective Equipment (PPE)"
"Filename: TG Booklet 3, Paragraph(s) Number: 417, Content: The following equipment should be available for the personal protection of all staff investigating a suspected case with highly infectious disease e.g. viral haemorrhagic fever, avian influenza etc. (See reference for the guidelines to use and select PPE at the end of the section). The equipment should be held at national level, if the PPE kits are inadequate, preposition of the PPE should be done in high risk health areas which are likely to report these specific or which have been identified to be at risk through risk assessment. See Annex 5A for other stocks that may be needed to respond to a suspected outbreak."
"Filename: TG Booklet 3, Paragraph(s) Number: 418, Content: Composition of one set of PPE﷐WHO Deployment Kit﷐1 surgical gown﷐100 surgical gowns﷐1 coverall﷐100 coveralls﷐1 head cover﷐100 head cover﷐2 pairs of goggles﷐50 pair of goggles﷐1 pair of rubber gloves﷐100 pairs﷐1 mask N95﷐200 pieces﷐1 boot cover*﷐0﷐1 box 50 pairs of examination gloves﷐800 pairs of examination gloves﷐1 plastic apron re-usable﷐20 pieces﷐1 pair of gum boots﷐20 Gum boots﷐1 hand sprayer﷐2 of 1.5 litres each﷐1 Back sprayer﷐1 back sprayer of 10-12 litres﷐Specimen containers﷐﷐Scotch of tapes﷐3 rolls﷐Anti-fog for goggles﷐3 bottles﷐Chlorine﷐﷐N.B: chlorine and gum boots can be purchased locally; biohazard bags for PPE/Waste management must be purchased * Not essential"
"Filename: TG Booklet 3, Paragraph(s) Number: 419, Content: Annex 4D: How to conduct a register review"
"Filename: TG Booklet 3, Paragraph(s) Number: 420, Content: 1.Background"
"Filename: TG Booklet 3, Paragraph(s) Number: 421, Content: The purpose of a register review is to collect information on cases admitted to the health facility during a specific period. Explain that the information will be used to determine what caused the outbreak or increase in number of cases. The register should be used for;"
"Filename: TG Booklet 3, Paragraph(s) Number: 422, Content: Any inpatient facility with more than 10 hospital beds. "
"Filename: TG Booklet 3, Paragraph(s) Number: 423, Content: Large reference or teaching hospitals with paediatric wards because they receive referrals from other health facilities."
"Filename: TG Booklet 3, Paragraph(s) Number: 424, Content: Small hospitals or health facilities that serve remote areas and high-risk populations. For example, nomadic groups, refugees, or areas without regularly scheduled health services."
"Filename: TG Booklet 3, Paragraph(s) Number: 425, Content: Meet with the health facility staff and explain the purpose of the review"
"Filename: TG Booklet 3, Paragraph(s) Number: 426, Content: Explain to the health facility’s senior staff the purpose of the review. The information will assist the district and health facility in determining the most appropriate action for limiting the outbreak and preventing future cases from occurring. Emphasize that the activity is an information-gathering exercise, and is not a review of health worker performance."
"Filename: TG Booklet 3, Paragraph(s) Number: 427, Content: Arrange to conduct the review"
"Filename: TG Booklet 3, Paragraph(s) Number: 428, Content: Arrange a time to conduct the review when staffs who will assist with the review are present and available to help or to answer questions."
"Filename: TG Booklet 3, Paragraph(s) Number: 429, Content: Identify sources of information"
"Filename: TG Booklet 3, Paragraph(s) Number: 430, Content: During the visit, depending on the priority disease or condition or events being investigated, check inpatient registers for the paediatric and infectious disease wards. The inpatient register for the paediatric ward is a good source because it lists all children admitted to the ward. Annual summary reports are not always accurate, and outpatient registers often include only a provisional diagnosis."
"Filename: TG Booklet 3, Paragraph(s) Number: 431, Content: Review the system and procedures health workers use to record information in the registers about diagnoses. Make sure that the information needed for investigating any suspected case is available. At a minimum, the register should include:"
"Filename: TG Booklet 3, Paragraph(s) Number: 432, Content: --	The patient’s name and location"
"Filename: TG Booklet 3, Paragraph(s) Number: 433, Content: --	The signs and symptoms"
"Filename: TG Booklet 3, Paragraph(s) Number: 434, Content: --	Date of onset of symptoms and outcome (for example, date of death, if relevant)"
"Filename: TG Booklet 3, Paragraph(s) Number: 435, Content: --	Immunization status, if appropriate to this disease."
"Filename: TG Booklet 3, Paragraph(s) Number: 436, Content: If the health facility does not keep at least the minimum information, talk with senior staff about how to strengthen the record keeping so that the minimum information is collected."
"Filename: TG Booklet 3, Paragraph(s) Number: 437, Content: Conduct the record review at the scheduled date and time"
"Filename: TG Booklet 3, Paragraph(s) Number: 438, Content: Go to the selected wards as scheduled. During the visit, look in the health facility registers for cases and deaths that may be suspected cases of a priority disease. These should be cases or deaths that meet the standard case definition for suspected cases. Find out whether the suspected case was investigated and reported according to the national guidelines."
"Filename: TG Booklet 3, Paragraph(s) Number: 439, Content: Line-list the suspected cases that are found."
"Filename: TG Booklet 3, Paragraph(s) Number: 440, Content: Record information about the suspected cases. This information will be used during case investigation activities."
"Filename: TG Booklet 3, Paragraph(s) Number: 441, Content: Provide feedback to the health facility staff"
"Filename: TG Booklet 3, Paragraph(s) Number: 442, Content: Meet with the health facility supervisor and discuss the findings of the activity. Use the opportunity to review any features of case management for the illness that may help health workers in the facility. Reinforce the importance of immediate reporting and case investigation as tools for prevention of priority diseases and conditions. Use opportunity to emphasize on the need for IPC and minimum PPE"
"Filename: TG Booklet 3, Paragraph(s) Number: 443, Content: Report any suspected cases to the next level"
"Filename: TG Booklet 3, Paragraph(s) Number: 444, Content: Report the suspected cases according to local procedures. Investigate the case further to determine the factors that placed the patient at risk for the disease or condition. Develop an appropriate case response."
"Filename: TG Booklet 3, Paragraph(s) Number: 445, Content: Annex 4E: Sample Line List "
"Filename: TG Booklet 3, Paragraph(s) Number: 446, Content: No﷐Name of Patient﷐District﷐Ward﷐Locality﷐Age﷐Sex  M/F﷐Occupation﷐Date of onset﷐Date seen at HF﷐Diarrhoea        Yes/No﷐Vomiting  Yes/No﷐Severe Dehydration  Yes/No﷐Specimen﷐Results﷐Hospitalized Yes/No﷐Place of Admission﷐Treatment given﷐Outcome﷐Date of Discharge or Death﷐Vaccination status﷐Comments﷐1﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐ ﷐2﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐ ﷐3﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐ ﷐4﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐ ﷐5﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐ ﷐6﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐ ﷐7﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐ ﷐8﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐ ﷐9﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐﷐ ﷐ ﷐ ﷐ ﷐ ﷐﷐ "
"Filename: TG Booklet 3, Paragraph(s) Number: 447, Content: Annex 4F: Contacts recording sheet"
"Filename: TG Booklet 3, Paragraph(s) Number: 448, Content: Contact’s1 Recording Sheet filled in by"
"Filename: TG Booklet 3, Paragraph(s) Number: 449, Content: Case name	 Case number (if assigned)"
"Filename: TG Booklet 3, Paragraph(s) Number: 450, Content: Case’s Village/neighbourhood 	 Chief or Community leader..."
"Filename: TG Booklet 3, Paragraph(s) Number: 451, Content: District/Town 	.Region"
"Filename: TG Booklet 3, Paragraph(s) Number: 452, Content: Date of symptom onset…………..Hospitalized .... / Found in the community .... If hospitalized, Hospital 	 Date of Admission:"
"Filename: TG Booklet 3, Paragraph(s) Number: 453, Content: Surname﷐Other Name﷐Relationship with the case﷐Health worker (Y/N), if yes which facility?﷐Age (yrs)﷐Sex (M/F)﷐Phone number﷐Head of Household﷐Village/ neighbourhood﷐Chief or Community leader﷐District/Town﷐Type of Contact (1, 2 or 3, list all)﷐Date of last contact﷐Last date for follow-up﷐1st  Visit﷐Outcome﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐"
"Filename: TG Booklet 3, Paragraph(s) Number: 454, Content: Contacts are defined as: "
"Filename: TG Booklet 3, Paragraph(s) Number: 455, Content: 1 - Sleeping in the same household with a suspected "
"Filename: TG Booklet 3, Paragraph(s) Number: 456, Content: 2 - Direct physical contacts with the case (dead or alive)"
"Filename: TG Booklet 3, Paragraph(s) Number: 457, Content: 3 - Has touched his/her linens or body fluids"
"Filename: TG Booklet 3, Paragraph(s) Number: 458, Content: 4 – Has eaten or touched a sick or dead animal"
"Filename: TG Booklet 3, Paragraph(s) Number: 459, Content: Annex 4G: Contact tracing form (follow-up)"
"Filename: TG Booklet 3, Paragraph(s) Number: 460, Content: Contact Tracing Form "
"Filename: TG Booklet 3, Paragraph(s) Number: 461, Content: Contact tracing team………	    HSAs names:…………."
"Filename: TG Booklet 3, Paragraph(s) Number: 462, Content: Village 	 "
"Filename: TG Booklet 3, Paragraph(s) Number: 463, Content: TA	 District"
"Filename: TG Booklet 3, Paragraph(s) Number: 464, Content: CN﷐Family Name﷐First Name﷐Age﷐Sex﷐Date of last Contact﷐Day of Follow-up﷐1﷐2﷐3﷐4﷐5﷐6﷐7﷐8﷐9﷐10﷐11﷐12﷐13﷐14﷐15﷐16﷐17﷐18﷐19﷐20﷐21﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐﷐"
"Filename: TG Booklet 3, Paragraph(s) Number: 465, Content: Record “O” if the contact has not developed fever or bleeding"
"Filename: TG Booklet 3, Paragraph(s) Number: 466, Content: Record “X” if the contact has died or developed fever and/or bleeding (complete Case Investigation Form and, if alive, refer to the hospital)"
"Filename: TG Booklet 3, Paragraph(s) Number: 467, Content: Annex 4H: Types of Triple Packaging of samples during an Outbreak"
"Filename: TG Booklet 3, Paragraph(s) Number: 468, Content: ￼"
"Filename: TG Booklet 3, Paragraph(s) Number: 469, Content: Source: https://medicine-science-and-more.com"
"Filename: TG Booklet 3, Paragraph(s) Number: 470, Content: Annex 4I:  Example of an Analytical study to test hypothesis"
"Filename: TG Booklet 3, Paragraph(s) Number: 471, Content: Case control study to determine potential exposures to cholera in Central African Republic. The unadjusted matched analysis indicates that persons who ate cold cassava leaves (one of the step foods in the region; Odds ratio (OR) = 3.07; 95% Confidence Interval (C.I) = [1.155; 8.163]; P = 0.020) were at greater odds of having cholera. The association was statistically significant at P < 0.05"
"Filename: TG Booklet 3, Paragraph(s) Number: 472, Content: ￼"
"Filename: TG Booklet 3, Paragraph(s) Number: 473, Content: Excerpt obtianed from https://www.cdcfoundation.org/sites/default/files/upload/pdf/2011CholeraOutbreakReport.pdf"
"Filename: TG Booklet 3, Paragraph(s) Number: 474, Content: Annex 4J: An example on how to create a transmission tree"
"Filename: TG Booklet 3, Paragraph(s) Number: 475, Content: Consider the following scenario which describes an outbreak of a respiratory illness, where the investigation team had information on 13 cases. "
"Filename: TG Booklet 3, Paragraph(s) Number: 476, Content: The first case was a 25-year old university student with onset of symptoms on 21 March 2012. He was admitted to Neno District hospital on 4 April 2012 after a week of coughing, fever, and shortness of breath. The patient was diagnosed with pneumonia and pericarditis, and he was soon transferred to the coronary care unit (CCU). As his condition worsened, he was transferred to Queen Elizabeth Central Hospital for further treatment; he was intubated in ICU the next day and died on 25 April 2012. Investigators were told that during his illness, the patient was in close contact with his mother (who did not report illness) and two healthcare workers (cases 2 & 3). His illness was later laboratory-confirmed as the novel coronavirus (3)."
"Filename: TG Booklet 3, Paragraph(s) Number: 477, Content: The second case was a 30-year-old male nurse in the CCU at Neno District Hospital. His symptoms started about 29 March 2012. He did not travel or have contact with animals in the 10 days prior to his illness, though he was in close proximity to the first case in the CCU. On 8 April, case 2 was admitted to the CCU at Neno with shortness of breath and pneumonia and was later discharged with no sequelae from Islamic hospital on 23 April. The patient was in close contact with two household members, including his mother (case 13) and a man that did not get sick (who was also the brother of case 3) (3). "
"Filename: TG Booklet 3, Paragraph(s) Number: 478, Content: Case 3 was a 40-year-old female nurse in the ICU at Neno District Hospital whose illness was laboratory-confirmed after her death. Her symptoms began on 2 April 2012, and she was admitted to Neno District Hospital ICU after developing pneumonia 7 days later. She was later transferred to ICU at Queen Elizabeth Central Hospital where she died on 19 April. During her illness, she was in close contact with 4 household members, including another brother who fell ill 10-days post exposure (case 9), and three others that were not affected. One month prior to her illness, her sister visited from Saudi Arabia (3). "
"Filename: TG Booklet 3, Paragraph(s) Number: 479, Content: Case 4 was a 65-year-old male doctor whose symptoms of fever and fatigue started 2 April 2012 and developed into pneumonia. The doctor opted to stay home during his illness and soon recovered. He did not travel or have contact with animals in the 10-days prior to his illness. His household members did not report any illness (3). "
"Filename: TG Booklet 3, Paragraph(s) Number: 480, Content: Cases 5 through 13 occurred in the second phase of the outbreak, with the onset of symptoms occurring between 11th and 26th April, 2012. All except case 13, who was the mother of case 2, had direct contact with one or both laboratory-confirmed cases. None of the healthcare workers travelled or had contact with animals. The healthcare workers reported that they only used gloves when treating patients to avoid stigmatizing them. "
"Filename: TG Booklet 3, Paragraph(s) Number: 481, Content: Basing on this information, and a line list, one sketch a transmission tree as follows:"
"Filename: TG Booklet 3, Paragraph(s) Number: 482, Content: ￼"
"Filename: TG Booklet 3, Paragraph(s) Number: 483, Content: Footnote: Extract from “Applied Public Health Case Study Scenarios for Training Public Health Professionals. Case studies developed under CDC/AFENET agreement”. Transforming Public Health Surveillance. (pages: In press). Location: Elsevier"
"Filename: TG Booklet 3, Paragraph(s) Number: 484, Content: 4.12 References"
"Filename: TG Booklet 3, Paragraph(s) Number: 485, Content: Ministry of Health Liberia, National Technical Guidelines for Integrated Disease Surveillance and Response, June 2016"
"Filename: TG Booklet 3, Paragraph(s) Number: 486, Content: Government of Sierra Leone. Ministry of Health and Sanitation. Technical Guidelines for IDSR. April,2015"
"Filename: TG Booklet 3, Paragraph(s) Number: 487, Content: Early detection, assessment and response to acute public health events: Implementation of Early Warning and Response with a focus on Event-Based Surveillance.  WHO/HSE/GCR/LYO/2014.4"
"Filename: TG Booklet 3, Paragraph(s) Number: 488, Content: Guide to establishing Event based surveillance. WHO Western Pacific region"
"Filename: TG Booklet 3, Paragraph(s) Number: 489, Content: A guide for establishing community based surveillance disease surveillance and response programme. WHO, Disease Prevention and Control Cluster, 2014"
"Filename: TG Booklet 3, Paragraph(s) Number: 490, Content: The United Republic of Tanzania, Ministry of Health and Social Welfare, National IDSR guidelines, 2nd edition 2011"
"Filename: TG Booklet 3, Paragraph(s) Number: 491, Content: FETP Basic Course Curriculum (Tanzania model)"
"Filename: TG Booklet 3, Paragraph(s) Number: 492, Content: WHO updates personal protective equipment guidelines for Ebola response"
"Filename: TG Booklet 3, Paragraph(s) Number: 493, Content: Guidance for the Selection and Use of Personal Protective Equipment in Healthcare Settings. https://www.cdc.gov/hai/prevent/ppe.html"
"Filename: TG Booklet 3, Paragraph(s) Number: 494, Content: www.searo.who.int/topics/disease_outbreaks/en/"
"Filename: TG Booklet 3, Paragraph(s) Number: 495, Content: WHO. Weekly Epidemiological Record No 51/52, 577-588, 19 December 2014( http://www.who.int/wer).][pokjhx"
"Filename: TG Booklet 3, Paragraph(s) Number: 496, Content: Epidemiological study designs."
"Filename: TG Booklet 3, Paragraph(s) Number: 497, Content: http://www.who.int/ipcs/publications/ehc/216_disinfectants_part_4.pdf"
"Filename: TG Booklet 3, Paragraph(s) Number: 498, Content: TECHNICAL GUIDELINES FOR INTEGRATED DISEASE SURVEILLANCE AND RESPONSE IN THE AFRICAN REGION"
"Filename: TG Booklet 3, Paragraph(s) Number: 499, Content: THIRD EDITION"
"Filename: TG Booklet 3, Paragraph(s) Number: 500, Content: SECTION 5:  PREPARE TO RESPOND TO OUTBREAKS AND OTHER PUBLIC HEALTH EVENTS"
"Filename: TG Booklet 3, Paragraph(s) Number: 501, Content: December 2020"
"Filename: TG Booklet 3, Paragraph(s) Number: 502, Content: SECTION 5:  PREPARE TO RESPOND TO OUTBREAKS AND OTHER PUBLIC HEALTH EVENTS"
"Filename: TG Booklet 3, Paragraph(s) Number: 503, Content: 5.0 Prepare to respond to outbreaks and other public health events"
"Filename: TG Booklet 3, Paragraph(s) Number: 504, Content: Rapid and effective response to a public health emergency such as a suspected outbreak or other public health event not only calls for an immediate response but is also one of the core capacities required by International Health Regulations 2005. Being prepared to detect and respond to such an event is an essential role of the district and national levels. "
"Filename: TG Booklet 3, Paragraph(s) Number: 505, Content: Preparations to respond to outbreaks and other public health events include: "
"Filename: TG Booklet 3, Paragraph(s) Number: 506, Content: Establishment of the Public Health Emergency Management Committee (PHEMC)"
"Filename: TG Booklet 3, Paragraph(s) Number: 507, Content: Development of functional Public Health Emergency Operating Centres (PHEOC), that will act as a command and control centre for coordination of public health emergencies or events/incidents at National level, or a similar coordination structure and also at district levels. "
"Filename: TG Booklet 3, Paragraph(s) Number: 508, Content: Development of policies, plans and procedures for operation, mapping available resources, estimating required supplies, procuring them and conduct simulation exercise to test systems.  "
